# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch1600.dat -cam -discard 2.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 13.4505
# sub_a, sub_b = 27.253 -0.422153
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
    0  -6.96348  1.92381      4.988  0.000 +-  0.000  0.000      4.99      4.99
    1   9.38383  2.44285      2.541  0.000 +-  0.000  0.000      2.54      2.54
    2  -1.22419  5.83652      8.123  0.319 +-  0.000  0.000      3.83     -0.37
    3  -0.63373  0.50929      3.372  0.319 +-  0.000  0.000     -0.92     -5.27
    4   1.87243  3.68697      7.062  0.299 +-  0.000  0.000      3.04     -0.65
    5   9.48874  3.96344      2.468  0.000 +-  0.000  0.000      2.47      2.47
    6   5.80866  3.54335      2.109  0.070 +-  0.000  0.000      1.17      1.20
    7  -2.94412  2.44960      5.236  0.489 +-  0.000  0.000     -1.34     -6.29
    8  -1.00459  6.19970      5.959  0.289 +-  0.000  0.000      2.07     -1.80
    9   3.37720  3.66221      4.418  0.339 +-  0.000  0.000     -0.14     -3.19
   10  -1.32559  4.53046      2.158  0.209 +-  0.000  0.000     -0.66     -3.39
   11  -4.00472  3.69383      2.111  0.329 +-  0.000  0.000     -2.32     -4.63
   12  -0.71074  1.52857     10.736  0.189 +-  0.000  0.000      8.19      5.61
   13   7.25477  4.30563      3.793  0.000 +-  0.000  0.000      3.79      3.79
   14   9.78494  6.25212      2.060  0.000 +-  0.000  0.000      2.06      2.06
   15   3.55332  0.82954      9.726  0.449 +-  0.000  0.000      3.69     -0.11
   16  -9.52364  5.96400      2.211  0.000 +-  0.000  0.000      2.21      2.21
   17   1.33042  3.73938      6.284  0.339 +-  0.000  0.000      1.72     -2.70
   18  -0.88738  4.15996      5.043  0.509 +-  0.000  0.000     -1.80     -8.65
   19  -1.07420  2.83120      2.013  0.269 +-  0.000  0.000     -1.61     -5.19
   20  -1.99538  2.04509      4.811  0.229 +-  0.000  0.000      1.73     -1.06
   21  -7.76791  3.69885      2.206  0.000 +-  0.000  0.000      2.21      2.21
