# ../areas-test-mean-class -incl 1.0 -r 0.4 -in HIevent-LHC-Nch3600.dat -cam -discard 0.0 
#---------------------------------------------------------------------
#                     FastJet release 2.1 beta    			 
#            Written by Matteo Cacciari and Gavin Salam		 
#            http://www.lpthe.jussieu.fr/~salam/fastjet		 
#								      	 
# Longitudinally invariant Kt Jet clustering, using the fast geometric
# algorithms of hep-ph/0512210 (please cite this if you use FastJet)  
# This package makes use of the CGAL library: http://www.cgal.org/    
# This package incorporates T.Chan's closest-pair algorithm, Proc. 13th     
# ACM-SIAM Symposium on Discrete Algorithms, pp.472-473, 2002
#---------------------------------------------------------------------
# median_pt_per_area = 386.625
# sub_a, sub_b = 494.247 -11.2439
 ijet   rap      phi        Pt       area  +-   err   stddev  pt_corr  ptcr(a,b)
    0   1.22990  1.82213    263.147  0.499 +-  0.000  0.000     70.35     25.16
    1  -3.90497  2.00433    183.974  0.578 +-  0.000  0.000    -39.67     -2.74
    2  -5.70978  5.37502     87.162  0.469 +-  0.000  0.000    -94.07     27.31
    3  10.33128  5.55104      3.004  0.000 +-  0.000  0.000      3.00      3.00
    4  -7.25662  3.57134     60.408  0.000 +-  0.000  0.000     60.41     60.41
    5 -11.63527  4.77715      2.016  0.000 +-  0.000  0.000      2.02      2.02
    6  -7.25739  2.72064     56.485  0.000 +-  0.000  0.000     56.48     56.48
    7   1.90552  3.28745    154.040  0.389 +-  0.000  0.000      3.66    -22.32
    8  13.05071  5.74594      1.651  0.000 +-  0.000  0.000      1.65      1.65
    9   5.85297  4.24822     41.607  0.239 +-  0.000  0.000    -50.94     15.50
   10   4.06778  1.89838    142.134  0.479 +-  0.000  0.000    -42.95     -5.41
   11  -5.75373  4.59488     92.205  0.469 +-  0.000  0.000    -89.02     35.01
   12   4.64463  3.07610     93.647  0.359 +-  0.000  0.000    -45.17      3.28
   13 -10.73097  4.71335      1.299  0.000 +-  0.000  0.000      1.30      1.30
   14  -2.72894  1.14880    160.603  0.419 +-  0.000  0.000     -1.35    -11.35
   15   3.01432  0.08485    141.138  0.449 +-  0.000  0.000    -32.38    -34.83
   16  -4.94773  2.39300     79.832  0.309 +-  0.000  0.000    -39.70     12.12
   17  -9.03905  5.19183     14.824  0.000 +-  0.000  0.000     14.82     14.82
   18   4.39592  5.17542    128.602  0.509 +-  0.000  0.000    -68.05    -12.28
   19   2.04649  0.89290    180.728  0.399 +-  0.000  0.000     26.49      2.34
   20  -7.16350  2.03415     66.239  0.000 +-  0.000  0.000     66.24     66.24
   21   6.24062  3.71299     47.243  0.080 +-  0.000  0.000     16.40     42.75
