#for i in *etamax3-pt_scheme*; do head $i | grep ktR | awk '{print $4}';  head -15 $i | grep aver | awk '{print $5 " " $7}'; done

#  R    <A>      err        ghost_area


# cam
0.1 0.5503 0.000112798 0.00003
0.1 0.550427 2.00772e-05 0.0001
#0.1 0.548048 8.32014e-06 0.001
#0.4 0.549659 0.000111134 0.0001
0.4 0.549486 5.76701e-05 0.001
#0.4 0.549984 3.50441e-05 0.005
0.7 0.548882 6.35254e-05 0.001
1 0.548082 9.40972e-05 0.001
#1 0.547796 9.38221e-05 0.005
#1 0.547586 9.37675e-05 0.01
#areas-cam-r1-ghost_area0.01-kt_scatter0.001.res
#1 0.547948 9.38199e-05 0.01
1.5 0.547109 0.00015032 0.01


# kt
0.1 0.553441 3.45673e-05 0.0001
#0.1 0.552334 8.3294e-06 0.001
#0.4 0.552573 0.000201783 0.0001
0.4 0.552623 3.48904e-05 0.001
#0.4 0.553055 3.48466e-05 0.005
#0.7 0.552015 8.09843e-05 0.001
#1 0.551155 0.000101507 0.001
1 0.550922 9.34027e-05 0.005
#areas-kt-r1-ghost_area0.01-kt_scatter0.00001.res
#1 0.550782 9.33272e-05 0.01
#areas-kt-r1-ghost_area0.01-kt_scatter0.001.res
#1 0.550624 9.32846e-05 0.01
#areas-kt-r1-grid_scatter0.01.res
#1 0.550692 9.33186e-05 0.01
#1 0.550705 9.32956e-05 0.01
1.5 0.5501 0.000149842 0.01


# etamax = 3, cam
0.1 0.550176 5.44148e-05 0.0001
0.4 0.548434 5.18237e-05 0.001
0.7 0.546254 9.7584e-05 0.005
1 0.543426 0.000152075 0.005
1.5 0.538773 0.000279094 0.01


# etamax = 100, cam
0.4 0.553761 5.75013e-05 0.001
1 0.561479 3.8813e-05 0.005
1.5 0.574942 0.000106844 0.01


# etamax = 100, cam, pt_scheme
0.4 0.554701 6.5647e-05 0.001
1 0.554832 7.27819e-05 0.005
1.5 0.556377 0.000106097 0.01


# etamax = 1, cam
0.1 0.549227 0.000220053 1e-05
0.4 0.54055 0.000356085 0.001
0.7 0.514596 0.000382408 0.001


#etamax =1, cam, pt_scheme
0.1 0.549259 0.000480548 1e-05
0.4 0.540552 0.000237052 0.001
0.7 0.514804 0.000464858 0.001


#etamax=3, cam, pt_scheme
0.1 0.550231 0.000192358 0.0001
0.4 0.548625 0.000200518 0.001
0.7 0.546243 0.000138646 0.005
1 0.543467 0.000197358 0.005
1.5 0.539436 0.000279673 0.01
